Date,Close
2021-03-11,73.900002
2021-03-12,69.699997
2021-03-15,72.150002
2021-03-16,77.0
2021-03-17,76.790001
2021-03-18,67.300003
2021-03-19,70.5
2021-03-22,70.0
2021-03-23,68.0
2021-03-24,64.5
2021-03-25,67.849998
2021-03-26,70.970001
2021-03-29,67.029999
2021-03-30,65.169998
2021-03-31,64.830002
2021-04-01,67.339996
2021-04-05,70.760002
2021-04-06,71.32
2021-04-07,68.730003
2021-04-08,70.760002
2021-04-09,71.830002
2021-04-12,75.0
2021-04-13,82.050003
2021-04-14,75.349998
2021-04-15,79.660004
2021-04-16,75.849998
2021-04-19,72.0
2021-04-20,69.239998
2021-04-21,71.760002
2021-04-22,69.849998
2021-04-23,71.779999
2021-04-26,74.900002
2021-04-27,74.349998
2021-04-28,75.639999
2021-04-29,76.120003
2021-04-30,74.550003
2021-05-03,71.080002
2021-05-04,69.620003
2021-05-05,66.589996
2021-05-06,65.059998
2021-05-07,67.900002
2021-05-10,64.0
2021-05-11,77.650002
2021-05-12,75.529999
2021-05-13,69.68
2021-05-14,70.949997
2021-05-17,76.93
2021-05-18,74.989998
2021-05-19,75.220001
2021-05-20,76.330002
2021-05-21,82.5
2021-05-24,89.230003
2021-05-25,89.32
2021-05-26,89.709999
2021-05-27,97.470001
2021-05-28,93.769997
2021-06-01,96.889999
2021-06-02,99.860001
2021-06-03,96.5
2021-06-04,99.57
2021-06-07,93.440002
2021-06-08,91.410004
2021-06-09,91.040001
2021-06-10,91.0
2021-06-11,92.82
2021-06-14,87.800003
2021-06-15,89.800003
2021-06-16,82.589996
2021-06-17,82.980003
2021-06-18,81.139999
2021-06-21,82.510002
2021-06-22,82.440002
2021-06-23,84.860001
2021-06-24,87.339996
2021-06-25,87.0
2021-06-28,93.040001
2021-06-29,92.599998
2021-06-30,89.980003
2021-07-01,85.82
2021-07-02,86.199997
2021-07-06,86.980003
2021-07-07,86.400002
2021-07-08,86.879997
2021-07-09,86.260002
2021-07-12,86.540001
2021-07-13,84.019997
2021-07-14,79.169998
2021-07-15,77.279999
2021-07-16,77.559998
2021-07-19,79.239998
2021-07-20,79.860001
2021-07-21,79.910004
2021-07-22,82.029999
2021-07-23,81.830002
2021-07-26,77.629997
2021-07-27,76.190002
2021-07-28,79.129997
2021-07-29,76.849998
2021-07-30,76.980003
2021-08-02,78.309998
2021-08-03,77.489998
2021-08-04,81.650002
2021-08-05,80.57
2021-08-06,77.919998
2021-08-09,85.510002
2021-08-10,85.080002
2021-08-11,84.690002
2021-08-12,82.650002
2021-08-13,83.959999
2021-08-16,79.57
2021-08-17,78.68
2021-08-18,83.459999
2021-08-19,81.349998
2021-08-20,82.769997
2021-08-23,85.059998
2021-08-24,89.260002
2021-08-25,90.339996
2021-08-26,85.809998
2021-08-27,85.400002
2021-08-30,81.870003
2021-08-31,82.050003
2021-09-01,84.449997
2021-09-02,84.599998
2021-09-03,82.870003
2021-09-07,84.970001
2021-09-08,83.510002
2021-09-09,86.349998
2021-09-10,87.879997
2021-09-13,84.650002
2021-09-14,82.330002
2021-09-15,82.150002
2021-09-16,81.419998
2021-09-17,80.809998
2021-09-20,77.769997
2021-09-21,78.849998
2021-09-22,81.18
2021-09-23,82.279999
2021-09-24,83.220001
2021-09-27,79.989998
2021-09-28,77.050003
2021-09-29,76.309998
2021-09-30,75.550003
2021-10-01,75.589996
2021-10-04,77.800003
2021-10-05,72.57
2021-10-06,73.699997
2021-10-07,74.800003
2021-10-08,70.440002
2021-10-11,70.220001
2021-10-12,71.900002
2021-10-13,74.779999
2021-10-14,74.349998
2021-10-15,76.580002
2021-10-18,77.800003
2021-10-19,79.169998
2021-10-20,78.580002
2021-10-21,83.190002
2021-10-22,83.980003
2021-10-25,83.209999
2021-10-26,80.889999
2021-10-27,80.68
2021-10-28,82.75
2021-10-29,84.019997
2021-11-01,81.139999
2021-11-02,79.589996
2021-11-03,78.360001
2021-11-04,82.529999
2021-11-05,77.989998
2021-11-08,77.0
2021-11-09,109.519997
2021-11-10,95.260002
2021-11-11,98.120003
2021-11-12,107.580002
2021-11-15,108.059998
2021-11-16,116.18
2021-11-17,124.699997
2021-11-18,126.120003
2021-11-19,134.720001
2021-11-22,120.220001
2021-11-23,114.870003
2021-11-24,124.230003
2021-11-26,122.650002
2021-11-29,129.360001
2021-11-30,126.099998
2021-12-01,113.410004
2021-12-02,116.919998
2021-12-03,113.790001
2021-12-06,113.25
2021-12-07,115.989998
2021-12-08,124.779999
2021-12-09,116.300003
2021-12-10,115.889999
2021-12-13,111.769997
2021-12-14,107.669998
2021-12-15,97.949997
2021-12-16,95.209999
2021-12-17,102.400002
2021-12-20,98.690002
2021-12-21,102.589996
2021-12-22,102.769997
2021-12-23,101.82
2021-12-27,105.010002
2021-12-28,98.739998
2021-12-29,97.339996
2021-12-30,100.529999
2021-12-31,103.160004
2022-01-03,98.809998
2022-01-04,95.150002
2022-01-05,88.540001
2022-01-06,89.199997
2022-01-07,84.370003
2022-01-10,85.519997
2022-01-11,89.040001
2022-01-12,89.059998
2022-01-13,80.18
2022-01-14,79.050003
2022-01-18,77.209999
2022-01-19,76.160004
2022-01-20,75.389999
2022-01-21,68.93
2022-01-24,70.739998
2022-01-25,65.290001
2022-01-26,63.02
2022-01-27,57.060001
2022-01-28,58.18
2022-01-31,65.860001
2022-02-01,67.75
2022-02-02,66.169998
2022-02-03,60.669998
2022-02-04,63.740002
2022-02-07,63.060001
2022-02-08,64.43
2022-02-09,70.480003
2022-02-10,69.919998
2022-02-11,66.809998
2022-02-14,68.32
2022-02-15,73.300003
2022-02-16,53.869999
2022-02-17,54.490002
2022-02-18,49.720001
2022-02-22,48.209999
2022-02-23,45.68
2022-02-24,50.099998
2022-02-25,50.049999
2022-02-28,51.57
2022-03-01,50.220001
2022-03-02,48.450001
2022-03-03,45.240002
2022-03-04,42.290001
2022-03-07,41.299999
2022-03-08,41.91
2022-03-09,44.380001
2022-03-10,41.470001
2022-03-11,39.240002
2022-03-14,36.68
2022-03-15,37.869999
2022-03-16,41.509998
2022-03-17,46.349998
2022-03-18,49.619999
2022-03-21,46.619999
2022-03-22,50.509998
2022-03-23,50.709999
2022-03-24,50.790001
2022-03-25,47.07
2022-03-28,48.400002
